Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,USA,0,42,583645246.4,108478055.2,55821348.12,412554638.4
Harlan Barnes,eu.dolor@diam.co.uk,USA,0,41,628435709.3,89449711.48,124035504.9,526949339.7
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,USA,1,43,478367077.1,104282357.7,149145932.6,501372283.6
Jade Cunningham,malesuada@dignissim.com,USA,1,58,777042043.6,134798084.4,128152738.6,787493201.4
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,USA,1,57,547636487.2,50071806.58,130887030.1,653092601.8
Carla Hester,mi@Aliquamerat.edu,USA,1,57,650078266.9,132492990.5,100094180.2,661228134.8
Griffin Rivera,vehicula@at.co.uk,USA,1,47,315033617,55675852,76240775.13,337852240.1
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,USA,1,50,454466098.4,102650348.7,147007377.6,554040597.4
Marny Obrien,Phasellus@sedsemegestas.org,USA,0,47,529066546.3,32151057.58,147181788.8,560799012.7
Rhonda Chavez,nec@nuncest.com,USA,1,43,474378943.4,120388831.2,111343887.6,446053430.2
Jerome Rowe,ipsum.cursus@dui.org,USA,1,50,706712903,77281489.56,143135741,689651592.9
Akeem Gibson,turpis.egestas.Fusce@purus.edu,USA,1,53,497324957.6,93579873.05,68646282.87,493933306.2
Quin Smith,nulla@ipsum.edu,USA,0,44,286088431.3,95479990.68,100659914.3,335216390.1
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,USA,0,48,647796244.4,88459602.48,98187235.6,575343668.3
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,USA,0,55,700023724.6,99024330.78,34186167.82,578277192
Thomas Williams,aliquet.molestie@ut.org,USA,1,53,605255671.1,105830464.9,112462849.8,619241681.2
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,USA,0,45,588875379.4,107414419.1,86515213.53,488395937.4
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,USA,1,48,465326507.6,116935677.6,128350022.3,512772001.3
Sloane Mann,at.augue@augue.net,USA,1,52,486596724.6,68938358.62,100704726.4,521325031.3
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,USA,0,59,496701010,124022411.8,132222769.7,640385480.7
Blythe Romero,Sed.eu@risusNuncac.co.uk,USA,1,52,590930880.3,110988385.1,112265411.6,597209540.3
Zelenia Byers,auctor.non@sapien.co.uk,USA,0,48,601576993.2,101899742.5,71768016.42,506939042.1
Nola Wiggins,Aliquam@augue.edu,USA,1,46,611263745.6,71935272.07,116222180.3,551773245.3
Micah Wheeler,arcu.eu@tincidunt.org,USA,1,47,457682816.2,111762217.6,160825669.4,544702573.7
Caryn Hendrix,condimentum.Donec@duiCum.com,USA,0,40,663068303.7,75925596.99,116586570,526515734.5
Hedda Miranda,scelerisque@magnased.com,USA,0,53,469805878,166375302.8,100317261,518446982.5
Ulric Lynn,sociis@vulputateveliteu.com,USA,0,28,817600795.4,122426564.8,73765114.92,434046949.9
Alma Pope,Nunc.mauris.Morbi@turpis.org,USA,0,56,567019164.4,133338948.3,79819235.71,573394231.2
Gemma Hendrix,lobortis@non.co.uk,USA,1,46,1018000000,163080101.2,43924293.37,681531715.3
Castor Wood,velit.Pellentesque@Nulla.net,USA,1,40,584576989.7,117014356.2,136242756,513854121.5
Herman Stevenson,sociosqu.ad.litora@erat.com,USA,1,33,312844817.7,87567399.45,74714077.21,205387773.3
Adrienne Bolton,dictum@magnaPraesent.ca,USA,1,40,654279717.9,125368637.4,113545735.5,521516213.3
Dahlia Cleveland,tincidunt.tempus@idsapien.co.uk,USA,1,51,811944089.4,75616087.36,153226291.4,775130272.1
Keane Browning,Curabitur@acipsumPhasellus.co.uk,USA,0,51,643123379.7,106683340.2,113865041.2,624756917.8
Quon Hull,nascetur.ridiculus.mus@dignissim.co.uk,USA,0,46,612840448.7,74646914.43,50381338.57,464984866.6
